ExtinctSpecies
Albatrellus ovinus
Boletopsis grisea
Cotylidia pannosa
Geastrum berkeleyi
Geastrum fornicatum
Hebeloma pseudoamarescens
Lactarius resimus
Lycoperdon caudatum
Lyophyllum transforme
Porostereum spadiceum
Rhodophana stangliana
Sarcodon scabrosus
Terana caerulea
Xylaria digitata
Sphaerosoma fuscescens Klotzsch 1839
Acanthophysium fennicum
Chlorophyllum agaricoides
Agaricus deylii
Aleurodiscus lividocaeruleus
Anomoporia myceliosa
Antrodiella beschidica
Arrhenia fissa
Arrhenia retiruga
Asterostroma ochroleucum
Athelopsis subinconspicua
Boletus gabretae
Boreostereum radiatum
Boubovia luteola
Calvatia fragilis
Camarophyllopsis foetens
Cejpomyces terrigenus
Ceraceomyces cystidiatus
Clavaria atrofusca
Clavaria fumosa
Clavaria zollingeri
Clavariadelphus truncatus
Clavulinopsis biformis
Clavulinopsis subtilis
Coltricia montagnei
Conocybe ambigua
Conocybe coprophila
Conocybe plicatella
Cordyceps capitata
Cytidiella albomellea
Dendrothele macrospora
Dermoloma emilii-dlouhyi
Dermoloma pragensis
Discina leucoxantha
Endoptychum agaricoides
Entoloma bloxamii
Galeropsis desertorum
Geastrum pseudolimbatum
Geastrum saccatum
Gymnopilus fulgens
Gymnopus herinkii
Haasiella venustissima
Hapalopilus salmonicolor
Hemimycena epichloe
Hemimycena subtilis
Hiemsia pseudoampezzana
Hydnellum cumulatum
Hydnellum mirabile
Hygrophorus calophyllus
Hygrophorus purpurascens
Hymenochaete crocata
Junghuhnia luteoalba
Kavinia alboviridis
Lentaria byssiseda
Lentaria epichnoa
Lentinellus auricula
Lenzites warnieri
Merulicium fusisporum
Oliveonia subviolacea
Peziza saliciphila
Phlebia albida
Podostroma alutaceum
Poronia punctata
Pseudoplectania sphagnophila
Pseudotomentella atrofusca
Ramaria gracilis
Ramaria ochracea
Ramaria suecica
Sarcodon versipellis
Sarcosoma globosum
Sistotrema heteronemum
Steccherinum aridum
Steccherinum robustius
Thelephora atrocitrina
Tomentella griseoumbrina
Tremellodendropsis tuberosa
Tricholoma radotinense
Tubulicrinis globisporus
Tulostoma moravecii
Tulostoma pulchellum
Typhula euphorbiae
Typhula quisquiliaris
Typhula sclerotioides
Typhula variabilis
Vararia dura
Vuilleminia megalospora
Wynnella silvicola
