Id,SwedishName,TaxonName,Group,Category,Sightings,Habitat,RLCateg,Criteria,Criteria2,Troph;;
1,klumpticka,Abortiporus biennis,svamp,Art,122,Jordbrukslandskap (J) - Stor betydelse,,,,Sapro;;
228012,,Abrothallus bertianus,svamp,,,,,,,Par;;
228013,,Abrothallus caerulescens,svamp,,,,,,,Par;;
228014,,Abrothallus cetrariae,svamp,,,,,,,Par;;
228015,,Abrothallus cladoniae,svamp,,,,,,,Par;;
266100,,Abrothallus halei,svamp,,,,,,,Par;;
6000458,,Abrothallus lobariae,svamp,,,,,,,Par;;
6008417,,Abrothallus nephromatis,svamp,,,,,,,Par;;
228016,,Abrothallus parmeliarum,svamp,,,,,,,Par;;
228017,,Abrothallus peyritschii,svamp,,,,,,,Par;;
6008418,,Abrothallus pezizicola,svamp,,,,,,,Par;;
228018,,Abrothallus prodiens,svamp,,,,,,,Par;;
228019,,Abrothallus suecicus,svamp,,,,,,,Par;;
257383,,Acallomyces homalotae,svamp,Art,0,Skog (S) - Stor betydelse,NE,,,Par;;
2967,ljungskinn,Acanthobasidium norvegicum,svamp,Art,0,,NA,,,Sapro;;
2905,borstig bägargömming,Acanthonitschkea tristis,svamp,Art,44,Skog (S) - Stor betydelse,LC,,,Sapro;;
233038,,Acanthophiobolus helicosporus,svamp,Art,4,Skog (S) - Stor betydelse,,,,Sapro;;
1961,druvskinn,Acanthophysellum lividocoeruleum,svamp,Art,58,Skog (S) - Stor betydelse,,,,Sapro;;
2966,,Acanthophysium cerussatum,svamp,Art,14,Skog (S) - Stor betydelse,,,,Sapro;;
1960,grenskålskinn,Acanthophysium fennicum,svamp,Art,0,Skog (S) - Stor betydelse,RE,,,Sapro;;
228043,,Acarospora insignis,svamp,,,,,,,Par;;
501,parasitsotlav,Acolium sessile,svamp,,,,,,,Par;;
257385,,Acompsomyces pauperculus,svamp,Art,0,Skog (S) - Stor betydelse,NE,,,Par;;
2909,nässelklubba,Acrospermum compressum,svamp,Art,104,Jordbrukslandskap (J) - Stor betydelse,,,,Sapro;;
257388,stråklubba,Acrospermum graminum,svamp,Art,10,Jordbrukslandskap (J) - Stor betydelse,,,,Sapro;;
233039,,Actidium acharii,svamp,Art,0,Skog (S) - Stor betydelse,LC,,,Sapro;;
233040,,Actidium hysterioides,svamp,Art,6,Skog (S) - Stor betydelse,LC,,,Sapro;;
233041,,Actidium nitidum,svamp,Art,1,Skog (S) - Stor betydelse,LC,,,Sapro;;
257398,,Actinopeltis palustris,svamp,Art,0,Jordbrukslandskap (J) - Stor betydelse,LC,,,Sapro;;
239079,sommarchampinjon,Agaricus altipes,svamp,Art,43,Skog (S) - Stor betydelse,,,,Sapro;;
239083,,Agaricus amanitiformis,svamp,Art,1,,NE,,,Sapro;;
239082,,Agaricus aristocratus,svamp,Art,0,,NA,,,Sapro;;
239066,snöbollschampinjon,Agaricus arvensis,svamp,Art,1375,Jordbrukslandskap (J) - Stor betydelse,,,,Sapro;;
2912,kungschampinjon,Agaricus augustus,svamp,Art,740,Skog (S) - Stor betydelse,,,,Sapro;;
2913,vit blodchampinjon,Agaricus benesii,svamp,Art,68,Jordbrukslandskap (J) - Stor betydelse,,,,Sapro;;
239073,strandängschampinjon,Agaricus bernardii,svamp,Art,78,Havsstrand (H) - Stor betydelse,,,,Sapro;;
2915,trädgårdschampinjon,Agaricus bisporus,svamp,Art,72,Jordbrukslandskap (J) - Stor betydelse,,,,Sapro;;
2916,vägchampinjon,Agaricus bitorquis,svamp,Art,202,Urban miljö (U) - Stor betydelse,,,,Sapro;;
239070,,Agaricus bohusii,svamp,Art,1,,NA,,,Sapro;;
2917,ängschampinjon,Agaricus campestris,svamp,Art,1161,Jordbrukslandskap (J) - Stor betydelse,,,,Sapro;;
6001420,,Agaricus chionodermus,svamp,Art,0,,NA,,,Sapro;;
239086,rödskivig dvärgchampinjon,Agaricus comtulus,svamp,Art,109,Jordbrukslandskap (J) - Stor betydelse,,,,Sapro;;
2919,kopparchampinjon,Agaricus cupreobrunneus,svamp,Art,36,Jordbrukslandskap (J) - Stor betydelse,NT,D1,,Sapro;;
2920,,Agaricus depauperatus,svamp,Art,1,Jordbrukslandskap (J) - Stor betydelse,,,,Sapro;;
239075,dynchampinjon,Agaricus devoniensis,svamp,Art,6,Havsstrand (H) - Stor betydelse,,,,Sapro;;
239068,lökfotad snöbollschampinjon,Agaricus essettei,svamp,Art,494,Skog (S) - Stor betydelse,,,,Sapro;;
2923,,Agaricus fuscofibrillosus,svamp,Art,7,,LC,,,Sapro;;
2925,luktchampinjon,Agaricus impudicus,svamp,Art,10,Skog (S) - Stor betydelse,,,,Sapro;;
239071,blodchampinjon,Agaricus langei,svamp,Art,698,Skog (S) - Stor betydelse,LC,,,Sapro;;
2927,ullfotschampinjon,Agaricus lanipes,svamp,Art,13,Skog (S) - Stor betydelse,NT,B2b(iii); C2a(i),,Sapro;
2942,spetsfotad champinjon,Agaricus litoralis,svamp,Art,151,Jordbrukslandskap (J) - Stor betydelse,NT,A2c+3c+4c,,Sapro;;
239077,,Agaricus lividonitidus,svamp,Art,1,,NA,,,Sapro;;
239088,guldfjällig dvärgchampinjon,Agaricus lutosus,svamp,Art,13,,NE,,,Sapro;;
6001612,,Agaricus macrocarpus,svamp,Art,8,,NE,,,Sapro;;
239064,pärlchampinjon,Agaricus moelleri,svamp,Art,34,Skog (S) - Stor betydelse,,,,Sapro;;
239081,,Agaricus moellerianus,svamp,Art,5,,NA,,,Sapro;;
239067,kortfotad snöbollschampinjon,Agaricus osecanus,svamp,Art,19,Jordbrukslandskap (J) - Har betydelse,,,,Sapro;;
239080,,Agaricus pampeanus,svamp,Art,0,Jordbrukslandskap (J) - Har betydelse,NA,,,Sapro;;
2932,brunfjällig karbolchampinjon,Agaricus phaeolepidotus,svamp,Art,5,Jordbrukslandskap (J) - Har betydelse,,,,Sapro;;
2933,gråbrun karbolchampinjon,Agaricus pilatianus,svamp,Art,1,,NE,,,Sapro;;
2934,rosenchampinjon,Agaricus porphyrrhizon,svamp,Art,39,Skog (S) - Stor betydelse,,,,Sapro;;
2937,stäppchampinjon,Agaricus pseudopratensis,svamp,Art,3,,NE,,,Sapro;;
239090,blekröd dvärgchampinjon,Agaricus semotus,svamp,Art,432,Jordbrukslandskap (J) - Stor betydelse,LC,,,Sapro;;
239074,,Agaricus subfloccosus,svamp,Art,2,,NE,,,Sapro;;
239089,brunfjällig champinjon,Agaricus subperonatus,svamp,Art,28,Urban miljö (U) - Stor betydelse,NA,,,Sapro;;
2941,skogschampinjon,Agaricus sylvaticus,svamp,Art,1430,Skog (S) - Stor betydelse,,,,Sapro;;
2944,knölchampinjon,Agaricus sylvicola,svamp,Art,1284,Jordbrukslandskap (J) - Stor betydelse,,,,Sapro;;
239091,vit kungschampinjon,Agaricus urinascens,svamp,Art,343,Jordbrukslandskap (J) - Stor betydelse,,,,Sapro;;
2947,giftchampinjon,Agaricus xanthoderma,svamp,Art,206,Jordbrukslandskap (J) - Har betydelse,,,,Sapro;;
2949,knölåkerskivling,Agrocybe arvalis,svamp,Art,137,Jordbrukslandskap (J) - Stor betydelse,,,,Sapro;;
2950,tuvad åkerskivling,Agrocybe cylindrica,svamp,Art,4,,NA,,,Sapro;;
2951,vit åkerskivling,Agrocybe dura,svamp,Art,106,Jordbrukslandskap (J) - Stor betydelse,,,,Sapro;;
13,sumpåkerskivling,Agrocybe elatella,svamp,Art,117,Jordbrukslandskap (J) - Stor betydelse,,,,Sapro;;
2952,mörk åkerskivling,Agrocybe erebia,svamp,Art,336,Skog (S) - Stor betydelse,,,,Sapro;;
1957,vedåkerskivling,Agrocybe firma,svamp,Art,3,Skog (S) - Stor betydelse,NT,D1,,Sapro;;
236552,,Agrocybe ochracea,svamp,Art,0,,NA,,,Sapro;;
2953,gul åkerskivling,Agrocybe pediades,svamp,Art,243,Jordbrukslandskap (J) - Stor betydelse,,,,Sapro;;
2954,tidig åkerskivling,Agrocybe praecox,svamp,Art,594,Jordbrukslandskap (J) - Stor betydelse,,,,Sapro;;
2955,pygméåkerskivling,Agrocybe pusiola,svamp,Art,11,Jordbrukslandskap (J) - Stor betydelse,,,,Sapro;;
2956,flisåkerskivling,Agrocybe putaminum,svamp,Art,3,Jordbrukslandskap (J) - Stor betydelse,,,,Sapro;;
236548,,Agrocybe rivulosa,svamp,Art,1,,NA,,,Sapro;;
236551,,Agrocybe smithii,svamp,Art,0,,NA,,,Sapro;;
2957,låg åkerskivling,Agrocybe vervacti,svamp,Art,13,Jordbrukslandskap (J) - Stor betydelse,,,,Sapro;;
3520,,Akanthomyces tuberculatus,svamp,Art,2,,NA,,,Par;;
232138,gul lammticka,Albatrellus citrinus,svamp,Art,559,Skog (S) - Stor betydelse,VU,A2c+3c+4c,,Myco;;
2958,brödticka,Albatrellus confluens,svamp,Art,2356,Skog (S) - Stor betydelse,LC,,,Myco;;
19,grönticka,Albatrellus cristatus,svamp,Art,54,Skog (S) - Stor betydelse,EN,D,,Myco;;
2959,fårticka,Albatrellus ovinus,svamp,Art,3743,Skog (S) - Stor betydelse,LC,,,Myco;;
1958,lammticka,Albatrellus subrubescens,svamp,Art,484,Skog (S) - Stor betydelse,VU,A2c+3c+4c, C2a(i),Myco;;
2961,,Albertiniella polyporicola,svamp,Art,19,Skog (S) - Stor betydelse,LC,,,Par;;
2962,,Albotricha acutipila,svamp,Art,2,Jordbrukslandskap (J) - Stor betydelse,,,,Sapro;;
257426,,Albotricha alpina,svamp,Art,0,Våtmark (V) - Stor betydelse,LC,,,Sapro;;
257427,,Albotricha miniata,svamp,Art,0,Skog (S) - Stor betydelse,LC,,,Sapro;;
2963,mönjeskål,Aleuria aurantia,svamp,Art,1000,Skog (S) - Stor betydelse,,,,Sapro;;
2964,,Aleuria luteonitens,svamp,Art,4,Skog (S) - Stor betydelse,NE,,,Sapro;;
26,ekskinn,Aleurocystidiellum disciforme,svamp,Art,783,Skog (S) - Stor betydelse,LC,,,Sapro;;
2965,skålskinn,Aleurodiscus amorphus,svamp,Art,35,Skog (S) - Stor betydelse,LC,,,Sapro;;
25,nyponskinn,Aleurodiscus aurantius,svamp,Art,7,Jordbrukslandskap (J) - Har betydelse,,,,Sapro;;
233042,,Allantoporthe decedens,svamp,Art,0,Skog (S) - Stor betydelse,LC,,,Sapro;;
233043,,Allantoporthe tessella,svamp,Art,1,Skog (S) - Stor betydelse,LC,,,Sapro;;
257476,,Allophylaria campanuliformis,svamp,Art,1,Skog (S) - Stor betydelse,LC,,,Sapro;;
257477,,Allophylaria clavuliformis,svamp,Art,0,Jordbrukslandskap (J) - Stor betydelse,,,,Sapro;;
257478,,Allophylaria macrospora,svamp,Art,1,Skog (S) - Stor betydelse,LC,,,Sapro;;
2968,,Allophylaria sublicoides,svamp,Art,0,Jordbrukslandskap (J) - Stor betydelse,LC,,,Sapro;;
36,gelétryffel,Alpova diplophloeus,svamp,Art,8,Skog (S) - Stor betydelse,VU,C2a(i),,Myco;;
266149,,Amandinea adjuncta,svamp,,,,,,,Par;;
236399,björkkamskivling,Amanita arctica,svamp,Art,26,Skog (S) - Stor betydelse,,,,Myco;;
236415,,Amanita argentea,svamp,Art,1,Skog (S) - Stor betydelse,NE,,,Myco;;
2969,zonkamskivling,Amanita battarrae,svamp,Art,998,Skog (S) - Stor betydelse,LC,,,Myco;;
236411,,Amanita beckeri,svamp,Art,1,,NA,,,Myco;;
37,jättekamskivling,Amanita ceciliae,svamp,Art,884,Skog (S) - Stor betydelse,,,,Myco;;
236421,vitgul flugsvamp,Amanita citrina,svamp,Art,4408,Skog (S) - Stor betydelse,LC,,,Myco;;
2971,orange kamskivling,Amanita crocea,svamp,Art,1298,Skog (S) - Stor betydelse,,,,Myco;;
2972,isabellflugsvamp,Amanita eliae,svamp,Art,8,Skog (S) - Stor betydelse,VU,D1,,Myco;;
236429,gråfotad flugsvamp,Amanita excelsa,svamp,Art,2340,Skog (S) - Stor betydelse,LC,,,Myco;;
236413,blekgul kamskivling,Amanita flavescens,svamp,Art,45,Skog (S) - Stor betydelse,LC,,,Myco;;
38,gulbrämad flugsvamp,Amanita franchetii,svamp,Art,134,Skog (S) - Stor betydelse,,,,Myco;;
39,alflugsvamp,Amanita friabilis,svamp,Art,63,Skog (S) - Stor betydelse,,,,Myco;;
2974,brun kamskivling,Amanita fulva,svamp,Art,6279,Skog (S) - Stor betydelse,LC,,,Myco;;
40,gul flugsvamp,Amanita gemmata,svamp,Art,208,Skog (S) - Stor betydelse,LC,,,Myco;;
236402,grönländsk kamskivling,Amanita groenlandica,svamp,Art,3,,NA,,,Myco;;
2975,bleknande kamskivling,Amanita lividopallescens,svamp,Art,141,Skog (S) - Stor betydelse,,,,Myco;;
236414,,Amanita magnivolvata,svamp,Art,4,,NE,,,Myco;;
236403,Mortens kamskivling,Amanita mortenii,svamp,Art,0,,NA,,,Myco;;
2976,röd flugsvamp/brun flugsvamp,Amanita muscaria,svamp,Art,6102,Skog (S) - Stor betydelse,LC,,,Myco;;
236401,snökamskivling,Amanita nivalis,svamp,Art,111,Fjäll (F) - Stor betydelse,LC,,,Myco;;
236404,,Amanita olivaceogrisea,svamp,Art,3,Skog (S) - Stor betydelse,NE,,,Myco;;
